openreview_number,title,authorids,authors,keywords,abstract,accepted_elsewhere,publication_conference_if_published,decision,award,arXiv,webpage,poster_session
2,LocInv: Localization-aware Inversion for Text-Guided Image Editing,~Chuanming_Tang1|~Kai_Wang7|~Fei_Yang4|~Joost_van_de_Weijer5,Chuanming Tang|Kai Wang|Fei Yang|Joost van de Weijer,diffusion models|image editing|inversion,"Large-scale Text-to-Image (T2I) diffusion models demonstrate significant generation capabilities based on textual prompts. Based on the T2I diffusion models, text-guided image editing research aims to empower users to manipulate generated images by altering the text prompts. However, existing image editing techniques are prone to editing over unintentional regions that are beyond the intended target area, primarily due to inaccuracies in cross-attention maps. To address this problem, we propose Localization-aware Inversion (LocInv), which exploits segmentation maps or bounding boxes as extra localization priors to refine the cross-attention maps in the denoising phases of the diffusion process. Through the dynamic updating of tokens corresponding to noun words in the textual input, we are compelling the cross-attention maps to closely align with the correct noun and adjective words in the text prompt. Based on this technique, we achieve fine-grained image editing over particular objects while preventing undesired changes to other regions. Our method LocInv, based on the publicly available Stable Diffusion, is extensively evaluated on a subset of the COCO dataset, and consistently obtains superior results both quantitatively and qualitatively. We show improved prompt editing results for Word-Swap and Attribute-Edit, especially in complex multi-object scenes.",No,,Accept (Poster),,https://arxiv.org/abs/2405.01496,https://github.com/wangkai930418/DPL,1
5,Visual Style Prompting with Swapping Self-Attention,~Jaeseok_Jeong2|~Junho_Kim3|~Youngjung_Uh2|~Yunjey_Choi3|~Gayoung_Lee1,Jaeseok Jeong|Junho Kim|Youngjung Uh|Yunjey Choi|Gayoung Lee,generative models|style transfer,"In the evolving domain of text-to-image generation, diffusion models have emerged as powerful tools in content creation.
Despite their remarkable capability, existing models still face challenges in achieving controlled generation with a consistent style, requiring costly fine-tuning or often inadequately transferring the visual elements due to content leakage. To address these challenges, we propose a novel approach, visual style prompting, to produce a diverse range of images while maintaining specific style elements and nuances. During the denoising process, we keep the query from original features while swapping the key and value with those from reference features in the late self-attention layers. This approach allows for the visual style prompting without any fine-tuning, ensuring that generated images maintain a faithful style. Through extensive evaluation across various styles and text prompts, our method demonstrates superiority over existing approaches, best reflecting the style of the references and ensuring that resulting images match the text prompts most accurately.",No,,Accept (Poster),,,,2
6,Automated Virtual Product Placement and Assessment in Images using Diffusion Models,~Mohammad_Mahmudul_Alam1|~Negin_Sokhandan2|~Emmett_D._Goodman1,Mohammad Mahmudul Alam|Negin Sokhandan|Emmett D. Goodman,Virtual Product Placement|Stable Diffusion|Generative AI|Advertisement|Content Creation,"In Virtual Product Placement (VPP) applications, the discrete integration of specific brand products into images or videos has emerged as a challenging yet important task. This paper introduces a novel three-stage fully automated VPP system. In the first stage, a language-guided image segmentation model identifies optimal regions within images for product inpainting. In the second stage, Stable Diffusion (SD), fine-tuned with a few example product images, is used to inpaint the product into the previously identified candidate regions. The final stage introduces an 'Alignment Module', which is designed to effectively sieve out low-quality images. Comprehensive experiments demonstrate that the Alignment Module ensures the presence of the intended product in every generated image and enhances the average quality of images by 35%. The results presented in this paper demonstrate the effectiveness of the proposed VPP system, which holds significant potential for transforming the landscape of virtual advertising and marketing strategies.",Yes,CVIV24,Accept (Poster),,,,1
7,VideoSwap: Customized Video Subject Swapping with Interactive Semantic Point Correspondence,~Yuchao_Gu1|~Yipin_Zhou4|~Bichen_Wu1|~Licheng_Yu4|~Jia-Wei_Liu1|~Rui_Zhao12|~Jay_Zhangjie_Wu1|~David_Junhao_Zhang1|~Mike_Zheng_Shou1|~Kevin_Dechau_Tang1,Yuchao Gu|Yipin Zhou|Bichen Wu|Licheng Yu|Jia-Wei Liu|Rui Zhao|Jay Zhangjie Wu|David Junhao Zhang|Mike Zheng Shou|Kevin Dechau Tang,Image and video synthesis and generation,"Current diffusion-based video editing primarily focuses on structure-preserved editing by utilizing various dense correspondences to ensure temporal consistency and motion alignment. However, these approaches are often ineffective when the target edit involves a shape change. To embark on video editing with shape change, we explore customized video subject swapping in this work, where we aim to replace the main subject in a source video with a target subject having a distinct identity and potentially different shape. In contrast to previous methods that rely on dense correspondences, we introduce the VideoSwap framework that exploits semantic point correspondences, inspired by our observation that only a small number of semantic points are necessary to align the subject's motion trajectory and modify its shape. We also introduce various user-point interactions (\eg, removing points and dragging points) to address various semantic point correspondence. Extensive experiments demonstrate state-of-the-art video subject swapping results across a variety of real-world videos.",Yes,CVPR24,Accept (Poster),,,,2
9,As-Plausible-As-Possible: Plausibility-Aware Mesh Deformation Using 2D Diffusion Priors,~Seungwoo_Yoo1|~Kunho_Kim3|~Vladimir_Kim1|~Minhyuk_Sung1,Seungwoo Yoo|Kunho Kim|Vladimir Kim|Minhyuk Sung,mesh deformation|jacobian fields|score-distillation|generative modeling,"We present As-Plausible-as-Possible (APAP) mesh deformation technique that leverages 2D diffusion priors to preserve the plausibility of a mesh under user-controlled deformation. Our framework uses per-face Jacobians to represent mesh deformations, where mesh vertex coordinates are computed via a differentiable Poisson Solve. The deformed mesh is rendered, and the resulting 2D image is used in the Score Distillation Sampling (SDS) process, which enables extracting meaningful plausibility priors from a pretrained 2D diffusion model. To better preserve the identity of the edited mesh, we fine-tune our 2D diffusion model with LoRA. Gradients extracted by SDS and a userprescribed handle displacement are then backpropagated to the per-face Jacobians, and we use iterative gradient descent to compute the final deformation that balances between the user edit and the output plausibility. We evaluate our method with 2D and 3D meshes and demonstrate qualitative and quantitative improvements when using plausibility priors over geometry-preservation or distortionminimization priors used by previous techniques.",Yes,CVPR24,Accept (Poster),,https://arxiv.org/abs/2311.16739,https://as-plausible-as-possible.github.io/,1
11,ReasonPix2Pix: Instruction Reasoning Dataset for Advanced Image Editing,~Ying_Jin1|~Pengyang_Ling1|~Xiaoyi_Dong1|~Pan_Zhang1|~Dahua_Lin1|~Jiaqi_Wang1,Ying Jin|Pengyang Ling|Xiaoyi Dong|Pan Zhang|Dahua Lin|Jiaqi Wang,instruction editing|reasoning editing,"Instruction-based image editing focuses on equipping a generative model with the capacity to adhere to human-written instructions for editing images. Current approaches typically comprehend explicit and specific instructions. However, they often exhibit a deficiency in executing active reasoning capacities required to comprehend instructions that are implicit or insufficiently defined. To enhance active reasoning capabilities and impart intelligence to the editing model, we introduce ReasonPix2Pix, a comprehensive reasoning-attentive instruction editing dataset. The dataset is characterised by 1) reasoning instruction, 2) more realistic images from fine-grained categories, and 3) increased variances between input and edited images. When fine-tuned with the our dataset under supervised conditions, the model demonstrates superior performance in instructional editing tasks, independent of whether the tasks require reasoning or not. The code, model, and dataset will be publicly available.",No,,Accept (Poster),,https://arxiv.org/abs/2405.11190,,2
12,MagicAnimate: Temporally Consistent Human Image Animation using Diffusion Model,~Zhongcong_Xu1|~Jianfeng_Zhang3|~Jun_Hao_Liew1|~Hanshu_Yan1|~Jia-Wei_Liu1|~Chenxu_Zhang1|~Jiashi_Feng1|~Mike_Zheng_Shou1,Zhongcong Xu|Jianfeng Zhang|Jun Hao Liew|Hanshu Yan|Jia-Wei Liu|Chenxu Zhang|Jiashi Feng|Mike Zheng Shou,image animation,"This paper studies the human image animation task, which aims to generate a video of a certain reference identity following a particular motion sequence. Existing animation works typically employ the frame-warping technique to animate the reference image towards the target motion. Despite achieving reasonable results, these approaches face challenges in maintaining temporal consistency throughout the animation due to the lack of temporal modeling and poor preservation of reference identity. In this work, we introduce \ours{}, a diffusion-based framework that aims at enhancing temporal consistency, preserving reference image faithfully, and improving animation fidelity. To achieve this, we first develop a video diffusion model to encode temporal information. Second, to maintain the appearance coherence across frames, we introduce a novel appearance encoder to retain the intricate details of the reference image. Leveraging these two innovations, we further employ a simple video fusion technique to encourage smooth transitions for long video animation. Empirical results demonstrate the superiority of our method over baseline approaches on two benchmarks. Notably, our approach outperforms the strongest baseline by over 38\% in terms of video fidelity on the challenging TikTok dancing dataset. Code and model will be made available.",Yes,CVPR24,Accept (Poster),,,,1
13,ToonAging: Face Re-Aging upon Artistic Portrait Style Transfer,~Bumsoo_Kim2|~Abdul_Muqeet1|~Kyuchul_Lee1|~Sanghyun_Seo1,Bumsoo Kim|Abdul Muqeet|Kyuchul Lee|Sanghyun Seo,Portrait Style Transfer|Face Re-Aging,"Face re-aging is a prominent field in computer vision and graphics, with significant applications in photorealistic domains such as movies, advertising, and live streaming. Recently, the need to apply face re-aging to non-photorealistic images, like comics, illustrations, and animations, has emerged as an extension in various entertainment sectors. However, the lack of a network that can seamlessly edit the apparent age in NPR images has limited these tasks to a naive, sequential approach. This often results in unpleasant artifacts and a loss of facial attributes due to domain discrepancies. In this paper, we introduce a novel one-stage method for face re-aging combined with portrait style transfer, executed in a single generative step. We leverage existing face re-aging and style transfer networks, both trained within the same PR domain. Our method uniquely fuses distinct latent vectors, each responsible for managing aging-related attributes and NPR appearance. By adopting an exemplar-based approach, our method offers greater flexibility compared to domain-level fine-tuning approaches, which typically require separate training or fine-tuning for each domain. This effectively addresses the limitation of requiring paired datasets for re-aging and domain-level, data-driven approaches for stylization. Our experiments show that our model can effortlessly generate re-aged images while simultaneously transferring the style of examples, maintaining both natural appearance and controllability.",No,,Accept (Poster),,https://arxiv.org/abs/2402.02733,https://gh-bumsookim.github.io/ToonAging/,2
14,Towards a Perceptual Evaluation Framework for Lighting Estimation,~Justine_Giroux1|~Mohammad_Reza_Karimi_Dastjerdi1|~Yannick_Hold-Geoffroy2|~Javier_Vazquez-Corral1|~Jean-Francois_Lalonde2,Justine Giroux|Mohammad Reza Karimi Dastjerdi|Yannick Hold-Geoffroy|Javier Vazquez-Corral|Jean-Francois Lalonde,Vision|Graphics|Lighting Estimation|IQA Metrics|Perception,"Progress in lighting estimation is tracked by computing existing image quality assessment (IQA) metrics on images from standard datasets. While this may appear to be a reasonable approach, we demonstrate that doing so does not correlate to human preference when the estimated lighting is used to relight a virtual scene into a real photograph. To study this, we design a controlled psychophysical experiment where human observers must choose their preference amongst rendered scenes lit using a set of lighting estimation algorithms selected from the recent literature, and use it to analyse how these algorithms perform according to human perception. Then, we demonstrate that none of the most popular IQA metrics from the literature, taken individually, correctly represent human perception. Finally, we show that by learning a combination of existing IQA metrics, we can more accurately represent human preference. This provides a new perceptual framework to help evaluate future lighting estimation algorithms.",Yes,CVPR24,Accept (Poster),,https://arxiv.org/abs/2312.04334,https://github.com/JustineGiroux/Lightsome,2
15,Customize Your Own Paired Data via Few-shot Way,~jinshuchen1|~Bingchuan_Li2|~Miao_Hua3|~XU_Panpan1|~Qian_HE3,Jinshu Chen|Bingchuan Li|Miao Hua|XU Panpan|Qian HE,few-shot|customized effects|paired data|diffusion models,"Existing solutions to image editing tasks suffer from several issues. Though achieving remarkably satisfying generated results, some supervised methods require huge amounts of paired training data, which greatly limits their usages. The other unsupervised methods take full advantage of large-scale pre-trained priors, thus being strictly restricted to the domains where the priors are trained on and behaving badly in out-of-distribution cases. The task we focus on is how to enable the users to customize their desired effects through only few image pairs. In our proposed framework, a novel few-shot learning mechanism based on the directional transformations among samples is introduced and expands the learnable space exponentially. Adopting a diffusion model pipeline, we redesign the condition calculating modules in our model and apply several technical improvements. Experimental results demonstrate the capabilities of our method in various cases.",No,,Accept (Poster),,https://arxiv.org/abs/2405.12490,,1
